Group_Name,avg_time_per_book,bookshelf_link,category,curr_reading_authors,curr_reading_titles,group_type,location,member_cnt,tags
Epigram Books,0.0,https://www.goodreads.com/group/bookshelf/462058-epigram-books,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,"318996, Singapore",14,"and-literature, bookclub, booklovers, books, childrenbooks, cookbooks, discussion, fantasy, fiction, middlegrades"
Free Books Giveaway Worldwide,0.0,https://www.goodreads.com/group/bookshelf/463429-free-books-giveaway-worldwide,"Business, Marketing & Advertising",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",India,7,"amazon, authors, biography, book-discussion, book-giveaways, book-publishers, book-review, bookclub, business, contest"
Da Muddah's book club,0.0,,"Friends & Common Interest, Wine",,,This is a private group. Members must be invited or approved by the group's moderator.,"Ringwood, NJ",6,bookclub
" ""نادي الكتاب ""البيان Al Bayan Bookclub",0.0,,"Books & Literature, Entertainment",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Canada,5,"arabic, arabic-books, bookclub, canada, vancouver-book-club"
Life Happens Book Club,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,4,"adult-fiction, bookclub, chick-lit, chicklit, contemporary, contemporary-fiction, fiction, romance, women-s-bookclub, women-s-fiction"
Doyenne,58.0,https://www.goodreads.com/group/bookshelf/470097-doyenne,"Friends & Common Interest, Beliefs & Causes",Malala Yousafzai,"""I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban""",This is a public group. Anyone can join and invite others to join.,NA,4,"bookclub, diversity, education, equal-rights, equality, feminism, feminist, girl-power, women"
CTO Book Club,9.0,https://www.goodreads.com/group/bookshelf/465880-cto-book-club,"Books & Literature, Professional & Technical",Camille Fournier,"""The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","EC1A 2BS, The United Kingdom",7,"bookclub, cto"
EVERYTHING PARANORMAL,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,4,"bookclub, fantasy, paranormal"
Ravenmount Book Club,0.0,https://www.goodreads.com/group/bookshelf/152909-ravenmount-book-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,33,"bookclub, literature, ravenmount"
The See Also Literature and technology Book Club,0.0,https://www.goodreads.com/group/bookshelf/466372-the-see-also-literature-and-technology-book-club,"Books & Literature, Computers & Internet",,,This is a public group. Anyone can join and invite others to join.,NA,10,"bookclub, libraries, technology"
WoTaLong (Wheel of Time Readalong),30.0,https://www.goodreads.com/group/bookshelf/385565-wotalong-wheel-of-time-readalong,"Books & Literature, Science Fiction & Fantasy",Robert Jordan,"""A Crown of Swords (Wheel of Time, #7)""",This is a public group. Anyone can join and invite others to join.,NA,125,"book-discussion-group, bookclub, booktubers, brandon-sanderson, discussion, fantasy, fantasy-series, readalong-booktube, robert-jordan, wheel-of-time"
Lit CelebrAsian Book Club,0.0,https://www.goodreads.com/group/bookshelf/227162-lit-celebrasian-book-club,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,115,"asia, asian-authors, asian-literature, bookclub, diverse-books, diversity, poc, we-need-diverse-books"
BookTube,0.0,https://www.goodreads.com/group/bookshelf/169109-booktube,"Entertainment & Arts, Online Media",,,This is a public group. Anyone can join and invite others to join.,NA,674,"book-reviews, bookclub, booktube, booktuber, booktubers, youtube"
New Booktubers & Bloggers,0.0,,"Just for Fun, Fan Clubs",,,This is a public group. Anyone can join and invite others to join.,NA,626,"bloggers, book-bloggers, bookclub, booktube, booktube-book-club, booktuber, booktubers, fun, new, welcome"
Children's Books,30.0,https://www.goodreads.com/group/bookshelf/188-children-s-books,"Books & Literature, Children's Books",Jean Lee Latham,"""Carry On, Mr. Bowditch""",This is a public group. Anyone can join and invite others to join.,NA,4286,"beginning-readers, bookclub, chapter-books, children-s-books, newbery, picture-books"
women can't read,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,"bookclub, empowerment, girls, humor, sugarbabies, women-only, women-s-bookclub"
"""Read"" Cedar Review Book Club",31.0,https://www.goodreads.com/group/bookshelf/458069-read-cedar-review-book-club,"Books & Literature, Literature & Fiction",Angie Thomas,"""The Hate U Give""","This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","East Lansing, MI",7,"book-club, book-discussion-group, bookclub, bookclub-any-type-of-book, bookclub-new-adult, bookclub-young-adult-books, college-books, college-students, literature-and-fiction"
Totally Awesome Magnificent Wonderful Impressive Spectacular Thilling Publication Enthusiast thing,0.0,,"Books & Literature, Mystery & Thrillers",,,This is a public group. Anyone can join and invite others to join.,NA,2,"a-book, adventure, alex, anyone, anything-and-everything, be-someone-else, be-yourself, bookclub, books, brother"
شبكة تبادل الكتب - القاهرة الكبرى,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Egypt,8,"book-exchange, bookclub"
Eunoia Bookclub,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,6,"bookclub, eunoia"
Well-Read Black Girl ,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,"Brooklyn, NY",57,"black-authors, black-literature, black-women, bookclub"
Chick Lit,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,6,"apocalypse, bookclub, distopia, fantasy, feminist"
Spilling Ink,0.0,,"Books & Literature, Science Fiction & Fantasy",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",Singapore,9,"bookclub, creative-writing, fantasy, fiction, sci-fi, writing, young-adult"
YA for Adults Bellingham,0.0,,"Books & Literature, Young Adult",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Bellingham, WA",4,"bookclub, village-books, ya"
THE Book Club,0.0,,"Books & Literature, Science Fiction & Fantasy",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Canada,5,"bookclub, fantasy, science-fiction"
Literary Alliance,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,9,bookclub
The ladies with a focus,68.0,https://www.goodreads.com/group/bookshelf/455697-the-ladies-with-a-focus,"Friends & Common Interest, Friends",Steven Furtick,"""Crash the Chatterbox: Hearing God's Voice Above All Others""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,6,"bookclub, course, finish, focus"
The Loser's Club Read-Along Bookclub,29.0,https://www.goodreads.com/group/bookshelf/455671-the-loser-s-club-read-along-bookclub,"Books & Literature, Horror",Stephen King,"""Doctor Sleep (The Shining, #2)""",This is a public group. Anyone can join and invite others to join.,NA,26,"bookclub, horror, read-along, stephen-king, thriller"
Ursula K. Le Guin Slow-Motion Reread,0.0,,"Books & Literature, Science Fiction & Fantasy",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,17,"bookclub, ursula-k-le-guin"
¤ Between The Pages ¤,30.0,https://www.goodreads.com/group/bookshelf/457559-between-the-pages,"Books & Literature, General","Tomi Adeyemi, Angie Thomas","""Children of Blood and Bone (Legacy of Orïsha, #1)"", ""The Hate U Give""",This is a public group. Anyone can join and invite others to join.,Canada,55,"any-genre, bookclub, competition, readalong, readathon"
never more than FORTHRIGHT,0.0,,"Books & Literature, Science Fiction & Fantasy",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,13,"bookclub, fantasy, legends, mythology"
Bombadil,0.0,,"Books & Literature, Literature & Fiction",,,This is a private group. Members must be invited or approved by the group's moderator.,Turkey,2,"bookclub, fiction, reading-club, tolkien, ursula"
Best Selling Books of Each Year,0.0,https://www.goodreads.com/group/bookshelf/441946-best-selling-books-of-each-year,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,2,"best, bestsellers, bookclub, challenge, fantasy, fiction, gone-with-the-wind, historical, historical-fiction, horror"
Book Cult,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Netherlands,3,"bookclub, creative-writing, novels"
 Sách Chuyền Tay - Books In The City,0.0,,"Friends & Common Interest, Activities",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Viet Nam,15,"bookclub, books, community, sachchuyentay"
Society of Novel Ideas,34.0,https://www.goodreads.com/group/bookshelf/449553-society-of-novel-ideas,"Books & Literature, General",Emma Cline,"""The Girls""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Australia,7,"bookclub, society-of-novel-ideas"
Grace's Book Nook,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, grace-elisabeth"
Purls & Pages,37.0,https://www.goodreads.com/group/bookshelf/443861-purls-pages,"Books & Literature, General",Erin Morgenstern,"""The Night Circus""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Casper, WY",4,"bookclub, casper-wyoming, knitting, wyoming"
Katta leser,0.0,,"Just for Fun, Totally Pointless",,,This is a public group. Anyone can join and invite others to join.,Norway,31,"bergen, bookclub, hamar, katedralskole, katta, katten, kristiansand, oslo, stavanger, trondheim"
Little Miss Book Buddies,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Australia,8,"australia, bookclub, bookclub-any-type-of-book, goodread-friends"
If you enjoy reading you may like this group so ya!,0.0,,"Just for Fun, Totally Pointless",,,This is a public group. Anyone can join and invite others to join.,NA,6,"bookclub, books, fantasy, random, romance, sci-fi, science-fiction-romance, young-adult"
Read with Tessa,29.0,https://www.goodreads.com/group/bookshelf/190424-read-with-tessa,"Books & Literature, Young Adult","Morgan Matson, Renee Ahdieh","""Save the Date"", ""Smoke in the Sun (Flame in the Mist, #2)""",This is a public group. Anyone can join and invite others to join.,The United Kingdom,1002,"bookclub, bookstagram"
My Sibling The Mythical Being!,30.0,https://www.goodreads.com/group/bookshelf/123355-my-sibling-the-mythical-being,"Books & Literature, Children's Books",Sienna Mercer,"""Secrets &amp; Spies (My Sister The Vampire, #15)""",This is a public group. Anyone can join and invite others to join.,The United Kingdom,86,"bookclub, children, daniel, ivy, justin, middle-grade, my-brother-the-werewolf, my-sister-the-vampire, olivia, sienna-mercer"
Paper & Glam Book Club,29.0,https://www.goodreads.com/group/bookshelf/147035-paper-glam-book-club,"Books & Literature, General",Bryn Greenwood,"""All the Ugly and Wonderful Things""",This is a public group. Anyone can join and invite others to join.,NA,2520,"bookclub, glam, monthly, paper, reading, women"
All Challenges All The Time,0.0,https://www.goodreads.com/group/bookshelf/94630-all-challenges-all-the-time,"Just for Fun, Totally Pointless",,,This is a public group. Anyone can join and invite others to join.,NA,304,"book-challenges, book-discusssion, bookclub, challenge, challenges, entertainment, fun, pnr, reading-challenges, u-f"
gactivity book club,0.0,https://www.goodreads.com/group/bookshelf/435034-gactivity-book-club,"Books & Literature, Gay & Lesbian",,,This is a public group. Anyone can join and invite others to join.,NA,2,"bookclub, lgbt, lgbtqia, thegays"
Standing Trials Book Club,0.0,,"Friends & Common Interest, Hobbies & Crafts",,,This is a private group. Members must be invited or approved by the group's moderator.,Australia,7,"bookclub, fantasy, roleplay, science-fiction"
Cookout Fam Bookclub,0.0,,"Friends & Common Interest, Friends",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",NA,6,bookclub
its lit?,0.0,,"Just for Fun, Totally Pointless",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,3,bookclub
MetroBkChat ,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,13,"bookclub, books, crime-fiction, discussion-group, essays, fiction, literary-fiction, literature, metro, readers"
Roxbury Library Teen Advisory Board,0.0,,"Organizations, Libraries",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Succasunna, NJ",5,"bookclub, books, library, roxbury, tab, teen-advisory-board, teens"
#SocialRoadTrip Book Club,0.0,,"Friends & Common Interest, Travel",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,"book-club, book-discussion-group, bookclub"
Homeschool Heroes,0.0,,"Friends & Common Interest, Friends",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,2,"bookclub, fantasy, friends"
Megan Springer's Divergent Grade 8 Class,0.0,,"Student Groups, Study Groups",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",Canada,6,"bookclub, class-forum"
VikingReaders,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Winfield, KS",23,"bookclub, vikingreaders"
Fantasy Lovers,0.0,https://www.goodreads.com/group/bookshelf/383692-fantasy-lovers,"Books & Literature, Science Fiction & Fantasy",,,This is a public group. Anyone can join and invite others to join.,Canada,7,"bookclub, fantasy-novels"
Young Adult Book Adventure,30.0,https://www.goodreads.com/group/bookshelf/437576-young-adult-book-adventure,"Books & Literature, Young Adult","Veronica Roth, Sarah J. Maas","""Allegiant (Divergent, #3)"", ""Tower of Dawn (Throne of Glass, #6)""",This is a public group. Anyone can join and invite others to join.,NA,16,"bookclub, young-adult"
Spoonies & Books,0.0,https://www.goodreads.com/group/bookshelf/436698-spoonies-books,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,NA,6,"bookclub, fantasy, romance, science-fiction, spoonies, young-adult"
European Literature in Translation,30.0,https://www.goodreads.com/group/bookshelf/205584-european-literature-in-translation,"Books & Literature, Literature & Fiction",Giuseppe Tomasi di Lampedusa,"""The Leopard""","This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.",NA,154,"bookclub, classics, europe, european-literature, fiction, french-literature, german-literature, italian-literature, literature, reading-group"
Scandinavian & Nordic  Literature,27.0,https://www.goodreads.com/group/bookshelf/205249-scandinavian-nordic-literature,"Books & Literature, Literature & Fiction","Sigrid Undset, Tiina Nunnally</span></a> <span class=""authorName greyText smallText role"">(Translator)</span></div>, <div class=""authorName__container""><a class=""authorName"" itemprop=""url"" href=""https://www.goodreads.com/author/show/3852624.Sherrill_Harbison""><span itemprop=""name"">Sherrill Harbison</span></a> <span class=""authorName greyText smallText role"">(Introduction), Cora Sandel, Elizabeth Rokkan</span></a> <span class=""authorName greyText smallText role"">(Translator)","""The Wife (Kristin Lavransdatter, #2)"", ""Alberta Alone""",This is a private group. Members must be invited or approved by the group's moderator.,NA,175,"bookclub, books, classics, denmark, finland, iceland, literature, mythology, norse, norway"
Les Sorcières de la Littérature,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,France,110,"bookclub, feminism, feminist-book-club"
Chick Lit and Contemporary Romance by Filipino authors,0.0,https://www.goodreads.com/group/bookshelf/133456-chick-lit-and-contemporary-romance-by-filipino-authors,"Books & Literature, Romance",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Philippines,139,"bookclub, chicklit, na, pinoy, ya"
Chrimiras Book Club,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,bookclub
ITSBC-AYearInBooks,0.0,,"Organizations, General",,,"This is a restricted group. Members can join if they have an email address at one of these domains: @tdsb.on.ca.
          This group meets in real life.","M1P4N6, Canada",2,"2018, ayearinbooks, bookclub, its, tdsb"
Iloglu's,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,2,"bookclub, members-only"
Indeed Seattle Mgmt,0.0,,"Business, Companies",,,"This is a private group. Members must be invited or approved by the group's moderator.
            This group is accepting new members.
          This group meets in real life.","Seattle, WA",4,"bookclub, management"
On The Fly Book Club,0.0,,"Just for Fun, Fan Clubs",,,This is a public group. Anyone can join and invite others to join.,NA,5,bookclub
A Group for the Prevention of Readers Block,0.0,https://www.goodreads.com/group/bookshelf/430176-a-group-for-the-prevention-of-readers-block,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,Canada,11,"adults, adventure, bookclub, fantasy, fiction, friendship, good-books, inspiration, lgbt, motivation"
Rose's Fine Book Club ,0.0,,"Books & Literature, Literature & Fiction",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.","Detroit, MI",3,"bookclub, fiction-and-nonfiction"
Scripts and Ciphers,0.0,,"Books & Literature, General",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",India,2,bookclub
Bedford LGBT Book Club,0.0,,"Books & Literature, Gay & Lesbian",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","MK40 1EZ, The United Kingdom",2,"bedford, bookclub, england"
OSIA Book Club,0.0,https://www.goodreads.com/group/bookshelf/430911-osia-book-club,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,29,"bookclub, books, italian, italian-american-literature, italian-americans, italy"
Hillcrest HS Readers,0.0,,"Student Groups, Clubs & Societies",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Dallas, TX",3,"bookclub, reading-group"
On The Fly Book Club,0.0,,"Just for Fun, Fan Clubs",,,This is a public group. Anyone can join and invite others to join.,NA,39,bookclub
TBR Builder,0.0,,"Friends & Common Interest, Activities",,,This is a public group. Anyone can join and invite others to join.,Canada,5,"bookclub, tbr, tbr-builder, tbr-creator"
The Twenty Something Book Club ,0.0,,"Friends & Common Interest, Friends",,,This is a public group. Anyone can join and invite others to join.,NA,4,"bookclub, friends, fun, positive, twenty-somethings-book-club, twentysomethings"
YWCA Dayton's Revolutionary Reads,59.0,https://www.goodreads.com/group/bookshelf/430870-ywca-dayton-s-revolutionary-reads,"Organizations, Non-Profit Organizations",Matthew Desmond,"""Evicted: Poverty and Profit in the American City""",This is a public group. Anyone can join and invite others to join.,"Dayton, OH",26,"bookclub, class, equity, feminism, gender, intersectionality, race, racial-justice"
The Whiteboard Society,0.0,,"Organizations, Clubs & Societies",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,8,"bookclub, discussion-group, history, intellectual-discussion"
PCDL Teens,24.0,https://www.goodreads.com/group/bookshelf/429463-pcdl-teens,"Student Groups, Clubs & Societies",Claire Legrand,"""Some Kind of Happiness""","This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.","Eaton, OH",8,"bookclub, bookclub-young-adult, pcdl"
The Bookworm Challenge,0.0,https://www.goodreads.com/group/bookshelf/55774-the-bookworm-challenge,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Canada,201,"bookclub, canadian, challenge, star-trek"
806,0.0,,"Books & Literature, Literature & Fiction",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,15,bookclub
The Book Bishes,0.0,,"Just for Fun, Totally Pointless",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,7,bookclub
bookwineclubtoronto,0.0,,"Books & Literature, Cooking, Food & Wine",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Canada,4,"bookclub, bookwineclubtoronto, canada, ontario, toronto, wine"
Reto de Lectura Venezolanisimo,0.0,,"Books & Literature, General",,,This is a private group. Members must be invited or approved by the group's moderator.,Venezuela,3,"bookclub, venezuela"
YAmazing,20.0,https://www.goodreads.com/group/bookshelf/416915-yamazing,"Books & Literature, Young Adult","Angie Thomas, Sarah J. Maas","""The Hate U Give"", ""Throne of Glass (Throne of Glass, #1)""",This is a public group. Anyone can join and invite others to join.,The United Kingdom,6,"bookclub, fantasy, fiction, horror-fiction, ya"
Hella Books,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,NA,2,bookclub
Minerva's Book Club,0.0,,"Books & Literature, General",,,This is a public group. Anyone can join and invite others to join.,Portugal,4,"bookclub, fiction, monthly-bookclub, non-fiction"
Kylo Ren Book Club,0.0,,"Books & Literature, Science Fiction & Fantasy",,,This is a public group. Anyone can join and invite others to join.,NA,4,"adam, adam-driver, adam-driver-bookclub, anime, any-type-of-book, batman, ben-solo, bookclub, comics, daisy"
Teen Book Club,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,2,bookclub
Freespee Book Club,0.0,,"Books & Literature, History",,,This is a private group. Members must be invited or approved by the group's moderator.,Sweden,11,"bookclub, freespee"
The Reading Divas,0.0,,"Books & Literature, General",,,"This is a private group. Members must be invited or approved by the group's moderator.
          This group meets in real life.",NA,5,bookclub
All things booksish,0.0,,"Books & Literature, Literature & Fiction",,,This is a public group. Anyone can join and invite others to join.,The United Kingdom,17,bookclub
DYB Community,0.0,,"Business, Marketing & Advertising",,,This is a private group. Members must be invited or approved by the group's moderator.,NA,10,"bookclub, business, dyb, leadership, marketing, sales, team"
TEC Reading Group,0.0,,"Books & Literature, Business & Investing",,,"This is a public group. Anyone can join and invite others to join.
          This group meets in real life.",Pakistan,34,"bookclub, business, investing, tec"
B&Q Reader's Haven Reads the Classics,180.0,https://www.goodreads.com/group/bookshelf/416773-b-q-reader-s-haven-reads-the-classics,"Books & Literature, Literature & Fiction","Mary Wollstonecraft Shelley, Charlotte Gordon</span></a> <span class=""greyText"">(Goodreads Author)</span> <span class=""authorName greyText smallText role"">(Introduction), Leo Tolstoy, Aylmer Maude</span></a> <span class=""authorName greyText smallText role"">(translator)","""Frankenstein"", ""War and Peace""",This is a public group. Anyone can join and invite others to join.,NA,11,"bookclub, classics"
Celtic Reconstructionist Book Group,0.0,,"Books & Literature, History",,,This is a public group. Anyone can join and invite others to join.,NA,9,"bookclub, celtic, celtic-folklore, celtic-goddesses, celtic-gods, celtic-history, celtic-mythology"
The Bookish Girls♡,0.0,,"Books & Literature, Young Adult",,,This is a public group. Anyone can join and invite others to join.,NA,10,"bookclub, fantasy, readers, romance, young-adult"
